year,brvm_composite_year_end,quality,notes
2006,113.0,SECONDARY,Historical year-end index level
2007,199.0,SECONDARY,Historical year-end index level
2008,178.17,VERIFIED,Historical year-end index level
2009,132.05,VERIFIED,Historical year-end index level
2010,159.1,VERIFIED,Historical year-end index level
2011,138.88,VERIFIED,Historical year-end index level
2012,166.58,VERIFIED,Historical year-end index level
2013,232.02,VERIFIED,Historical year-end index level
2014,258.08,VERIFIED,BRVM Annual Report 2014
2015,290.38,VERIFIED,Historical year-end index level
2016,261.95,VERIFIED,Historical year-end index level
2017,219.65,VERIFIED,Historical year-end index level
2018,,SECONDARY,Annual return -29.14%; year-end level not loaded
2019,,SECONDARY,Annual return -7.55%; year-end level not loaded
2020,,SECONDARY,Annual return -8.71%; year-end level not loaded
2021,,VERIFIED,Annual return +39.15%
2022,,VERIFIED,Annual return +0.46%
2023,,VERIFIED,Annual return +5.38%
2024,,VERIFIED,Annual return +28.89%
2025,,VERIFIED,Annual return +25.26%
