date,symbol,close,volume,pe,dividendYield,roe,revenueGrowth,debtEquity
2024-01-02,SNTS,15131.61,1738,,,,,
2024-01-02,BOAB,4167.98,11548,,,,,
2024-01-02,ETIT,25.33,33996,,,,,
2024-01-02,ORAC,9997.45,4803,,,,,
2024-01-02,SGBC,18481.25,1974,,,,,
2024-01-02,CABC,1088.82,25515,,,,,
2024-01-03,SNTS,14847.05,10342,,,,,
2024-01-03,BOAB,4206.51,27474,,,,,
2024-01-03,ETIT,25.07,29668,,,,,
2024-01-03,ORAC,10161.65,821,,,,,
2024-01-03,SGBC,18781.79,35057,,,,,
2024-01-03,CABC,1083.72,8196,,,,,
2024-01-04,SNTS,15189.64,17161,,,,,
2024-01-04,BOAB,4139.94,5287,,,,,
2024-01-04,ETIT,25.53,30384,,,,,
2024-01-04,ORAC,10327.50,36621,,,,,
2024-01-04,SGBC,18859.36,48669,,,,,
2024-01-04,CABC,1080.50,27826,,,,,
2024-01-05,SNTS,15452.77,31116,,,,,
2024-01-05,BOAB,4217.67,29078,,,,,
2024-01-05,ETIT,25.83,2768,,,,,
2024-01-05,ORAC,10226.86,14824,,,,,
2024-01-05,SGBC,18549.89,12023,,,,,
2024-01-05,CABC,1063.80,14259,,,,,
2024-01-06,SNTS,15585.76,18559,,,,,
2024-01-06,BOAB,4203.58,10870,,,,,
2024-01-06,ETIT,25.62,46864,,,,,
2024-01-06,ORAC,10320.56,30651,,,,,
2024-01-06,SGBC,18321.75,36591,,,,,
2024-01-06,CABC,1050.35,19283,,,,,
2024-01-07,SNTS,15968.05,32179,,,,,
2024-01-07,BOAB,4224.86,34388,,,,,
2024-01-07,ETIT,26.08,38911,,,,,
2024-01-07,ORAC,10220.52,2088,,,,,
2024-01-07,SGBC,18215.40,13753,,,,,
2024-01-07,CABC,1039.32,47174,,,,,
2024-01-08,SNTS,16278.42,16076,,,,,
2024-01-08,BOAB,4264.97,20083,,,,,
2024-01-08,ETIT,26.63,23213,,,,,
2024-01-08,ORAC,10137.93,12708,,,,,
2024-01-08,SGBC,18311.24,13505,,,,,
2024-01-08,CABC,1045.87,44942,,,,,
2024-01-09,SNTS,16245.42,11356,,,,,
2024-01-09,BOAB,4371.13,25721,,,,,
2024-01-09,ETIT,26.21,2832,,,,,
2024-01-09,ORAC,9985.20,31558,,,,,
2024-01-09,SGBC,18597.70,21396,,,,,
2024-01-09,CABC,1027.94,19390,,,,,
2024-01-10,SNTS,16648.72,26691,,,,,
2024-01-10,BOAB,4474.72,43108,,,,,
2024-01-10,ETIT,25.70,36175,,,,,
2024-01-10,ORAC,10091.81,27080,,,,,
2024-01-10,SGBC,18449.05,32227,,,,,
2024-01-10,CABC,1012.54,22020,,,,,
2024-01-11,SNTS,16655.67,47713,,,,,
2024-01-11,BOAB,4561.58,13537,,,,,
2024-01-11,ETIT,25.76,9343,,,,,
2024-01-11,ORAC,10304.43,43590,,,,,
2024-01-11,SGBC,18327.84,32127,,,,,
2024-01-11,CABC,1020.04,8065,,,,,
2024-01-12,SNTS,16894.06,27199,,,,,
2024-01-12,BOAB,4630.18,26752,,,,,
2024-01-12,ETIT,25.25,16545,,,,,
2024-01-12,ORAC,10107.37,46490,,,,,
2024-01-12,SGBC,18686.01,41667,,,,,
2024-01-12,CABC,1013.75,3367,,,,,
2024-01-13,SNTS,17223.67,47373,,,,,
2024-01-13,BOAB,4555.43,24556,,,,,
2024-01-13,ETIT,24.82,38149,,,,,
2024-01-13,ORAC,10253.55,6855,,,,,
2024-01-13,SGBC,18711.94,27715,,,,,
2024-01-13,CABC,1005.57,43685,,,,,
2024-01-14,SNTS,17207.16,10984,,,,,
2024-01-14,BOAB,4574.87,36631,,,,,
2024-01-14,ETIT,24.55,15929,,,,,
2024-01-14,ORAC,10507.65,32668,,,,,
2024-01-14,SGBC,18706.60,26120,,,,,
2024-01-14,CABC,990.94,11622,,,,,
2024-01-15,SNTS,17124.80,29621,,,,,
2024-01-15,BOAB,4530.75,11400,,,,,
2024-01-15,ETIT,24.14,31739,,,,,
2024-01-15,ORAC,10405.75,45318,,,,,
2024-01-15,SGBC,19056.10,4007,,,,,
2024-01-15,CABC,981.73,33614,,,,,
2024-01-16,SNTS,16947.40,7049,,,,,
2024-01-16,BOAB,4630.87,28766,,,,,
2024-01-16,ETIT,24.17,39338,,,,,
2024-01-16,ORAC,10575.75,9925,,,,,
2024-01-16,SGBC,18758.10,21837,,,,,
2024-01-16,CABC,980.81,23617,,,,,
